"filename", "language", "Markdown", "Properties", "Python", "comment", "blank", "total"
"/home/user/Desktop/programming/fstream/README.md", "Markdown", 2, 0, 0, 0, 0, 2
"/home/user/Desktop/programming/fstream/examples/echo_client.py", "Python", 0, 0, 18, 3, 8, 29
"/home/user/Desktop/programming/fstream/examples/echo_server.py", "Python", 0, 0, 17, 1, 9, 27
"/home/user/Desktop/programming/fstream/fstream/__init__.py", "Python", 0, 0, 37, 15, 20, 72
"/home/user/Desktop/programming/fstream/fstream/protocol/__init__.py", "Python", 0, 0, 3, 0, 1, 4
"/home/user/Desktop/programming/fstream/fstream/protocol/base.py", "Python", 0, 0, 189, 17, 73, 279
"/home/user/Desktop/programming/fstream/fstream/protocol/buffered.py", "Python", 0, 0, 27, 1, 13, 41
"/home/user/Desktop/programming/fstream/fstream/protocol/chunked.py", "Python", 0, 0, 13, 0, 6, 19
"/home/user/Desktop/programming/fstream/setup.cfg", "Properties", 0, 2, 0, 0, 0, 2
"/home/user/Desktop/programming/fstream/setup.py", "Python", 0, 0, 28, 0, 7, 35
"Total", "-", 2, 2, 332, 37, 137, 510
